Name;Code;Org_Latitude;Org_Longitude;Org_Altitude;Latitude_Correction;Longitude_Correction;Altitude_Correction;Latitude;Longitude;Altitude;AntennaHeight;Northing;Easting;Height;State;Satellite_Lock;Satellite_View;PDOP;GDOP;HDOP;VDOP;TDOP;HRMS;VRMS;LatRMS;LonRMS;Age;Date;Time;Base_ID;Base_Latitude;Base_Longitude;Base_Altitude;Base_Distance;CompensationMode;InclineAngle;AzimuthAngle;Correct_n;Correct_e;Correct_h
N-1749;CASA;001d21m57,3007866000s;-077d14m26,0625426000s;2090,444;0,0000000000000000;0,0000000000000000;0,000000;001d21m57,3007866000s;-077d14m26,0625426000s;2087,644;2,870;1709381,189;4528018,847;2087,644;FLOAT;30;31;1,000;99,000;0,500;0,900;99,000;0,050;0,068;0,026;0,043;4,0;2024-11-20;10:32:05;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7963520,500;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1765;CASA;001d24m00,7751592000s;-077d13m07,7875032000s;2051,913;0,0000000000000000;0,0000000000000000;0,000000;001d24m00,7751592000s;-077d13m07,7875032000s;2049,113;2,870;1713176,782;4530450,061;2049,113;FLOAT;27;28;1,100;99,000;0,600;0,900;99,000;0,068;0,094;0,031;0,061;8,0;2024-11-20;13:52:29;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7961621,000;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1769;CASA;001d25m31,3197396000s;-077d17m05,3370570000s;1721,449;0,0000000000000000;0,0000000000000000;0,000000;001d25m31,3197396000s;-077d17m05,3370570000s;1719,579;1,940;1715976,857;4523097,373;1719,579;FLOAT;30;30;1,000;99,000;0,500;0,800;99,000;0,051;0,070;0,028;0,043;6,0;2024-11-20;17:32:27;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7967164,500;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1789;CASA;001d29m19,5557232000s;-077d16m55,2181062000s;1255,766;0,0000000000000000;0,0000000000000000;0,000000;001d29m19,5557232000s;-077d16m55,2181062000s;1252,966;2,870;1723000,710;4523424,181;1252,966;FLOAT;32;33;0,900;99,000;0,500;0,800;99,000;0,063;0,071;0,026;0,057;5,0;2024-11-21;10:30:36;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7966659,500;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1738;CASA;001d19m48,6552138000s;-077d17m46,1562060000s;2098,564;0,0000000000000000;0,0000000000000000;0,000000;001d19m48,6552138000s;-077d17m46,1562060000s;2095,764;2,870;1705432,809;4521813,944;2095,764;FLOAT;28;30;1,100;99,000;0,500;0,900;99,000;0,054;0,073;0,032;0,044;11,0;2024-11-21;13:01:12;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7968342,000;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1739;CASA;001d17m56,9395476000s;-077d15m39,4216320000s;2655,217;0,0000000000000000;0,0000000000000000;0,000000;001d17m56,9395476000s;-077d15m39,4216320000s;2651,912;3,375;1701987,805;4525733,783;2651,912;FLOAT;27;29;1,100;99,000;0,500;0,900;99,000;0,078;0,092;0,028;0,073;10,0;2024-11-21;15:32:51;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7965615,500;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1960;CASA;001d31m20,8515240000s;-077d19m29,8385772000s;1178,300;0,0000000000000000;0,0000000000000000;0,000000;001d31m20,8515240000s;-077d19m29,8385772000s;1175,500;2,870;1726743,418;4518642,264;1175,500;FLOAT;31;32;1,100;99,000;0,500;0,900;99,000;0,057;0,081;0,027;0,050;7,0;2024-11-22;09:10:38;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7970360,500;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1963;CASA;001d36m52,9668234000s;-077d20m41,7541854000s;1037,368;0,0000000000000000;0,0000000000000000;0,000000;001d36m52,9668234000s;-077d20m41,7541854000s;1034,568;2,870;1736970,300;4516435,896;1034,568;FLOAT;33;33;0,900;99,000;0,500;0,800;99,000;0,059;0,071;0,025;0,053;4,0;2024-11-22;10:26:45;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7972055,500;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1965;CASA;001d40m31,0105716000s;-077d19m46,3496058000s;629,070;0,0000000000000000;0,0000000000000000;0,000000;001d40m31,0105716000s;-077d19m46,3496058000s;626,270;2,870;1743677,809;4518166,602;626,270;FLOAT;31;33;0,900;99,000;0,500;0,800;99,000;0,073;0,069;0,028;0,067;9,0;2024-11-22;11:51:10;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7970496,000;0;0,00000000;270,00000000;0,000;0,000;0,000
N-1961;CASA;001d33m14,1691086000s;-077d22m08,6926812000s;974,279;0,0000000000000000;0,0000000000000000;0,000000;001d33m14,1691086000s;-077d22m08,6926812000s;971,479;2,870;1730241,345;4513728,738;971,479;FLOAT;28;28;1,000;99,000;0,500;0,900;99,000;0,082;0,094;0,026;0,078;4,0;2024-11-22;16:10:05;;000d00m00,0000000000s;000d00m00,0000000000s;0,000;7974082,500;0;0,00000000;270,00000000;0,000;0,000;0,000
